EVENT_ID	STAGE_ID	ACTOR	CATEGORY	START_KST	END_KST	ACTIVE_SECONDS	WAIT_SECONDS	OWNER_WAIT_SECONDS	TOOL_WAIT_SECONDS	INPUT_REF_COUNT	FILES_READ_COUNT	LINES_OR_BYTES_READ	GIT_CALL_COUNT	OUTPUT_REF	NOTES
E016	S7	MODELV	REVALIDATION	2026-08-26T02:17:01+09:00	2026-08-26T02:17:06+09:00	5	0	0	0	3	3	TWO_R1_PASSAGES_AND_ONE_HASH_ROW	0	MODELV_AFFECTED_DIFF_RECHECK_RECEIPT.md	Affected-diff only; context/direct split unavailable; one wrong-directory hash attempt immediately repeated correctly
E017	S7	CONTROLV	REVALIDATION	2026-08-26T02:17:02+09:00	2026-08-26T02:17:21+09:00	19	0	0	0	5	5	R6_TIMELINE_D1_HASH_SLICE	0	CONTROLV_AFFECTED_DIFF_RECHECK_RECEIPT.md	Affected-diff and mechanical six-hash check only
E018	S7	PMOV	REVALIDATION	2026-08-26T02:17:04+09:00	2026-08-26T02:17:46+09:00	42	0	0	0	5	5	SCOPE_LOCK_TIMELINE_LEDGER_D1_SLICE	2	PMOV_AFFECTED_DIFF_RECHECK_RECEIPT.md	Affected-diff only; proposal/plan content not reread
E019	S0	PMO	UNCLASSIFIED	2026-08-26T01:59:00+09:00	2026-08-26T02:00:00+09:00	60	0	0	0	0	0	EVIDENCE_GAP	0	NONE	No contemporaneous category split; retained as unclassified rather than inferred
E020	S0-S2	PMO+MODEL	UNCLASSIFIED	2026-08-26T02:00:23+09:00	2026-08-26T02:01:55+09:00	92	0	0	0	0	0	EVIDENCE_GAP	0	NONE	Concurrent plan-validation/crosswalk interval cannot be separated from available records
E021	S6	PMO	VALIDATION_CONTEXT_LOAD	2026-08-26T02:09:37+09:00	2026-08-26T02:11:07+09:00	90	0	0	0	3	3	D0_DISPATCH_PREPARATION	0	VALIDATION_SLICE_MANIFEST.md	D0-to-first-validator dispatch and role-context preparation; no target reread
E022	S7	PMO	VALIDATION_CONTEXT_LOAD	2026-08-26T02:16:13+09:00	2026-08-26T02:17:01+09:00	48	0	0	0	3	3	AFFECTED_DIFF_DISPATCH_PREPARATION	0	D0_TO_D1_DIFF_CLASSIFICATION.md	D1-to-first-recheck dispatch and exact diff-slice preparation
E024	S0	PMO	UNCLASSIFIED	2026-08-26T01:54:54+09:00	2026-08-26T01:55:00+09:00	6	0	0	0	0	0	EVIDENCE_GAP	0	NONE	Bootstrap-to-source-recovery handoff retained without retrospective classification
E025	S8	PMOV	VALIDATION_CONTEXT_LOAD	2026-08-26T02:21:48+09:00	2026-08-26T02:22:26+09:00	38	0	0	0	5	5	S8_CALCULATION_INPUT_SLICE	0	PMOV_S8_CALCULATION_INTEGRITY_RECEIPT.md	Read-only pre-substitution calculation check
E026	S8	PMOV	VALIDATION_DIRECT	2026-08-26T02:22:26+09:00	2026-08-26T02:23:14+09:00	48	0	0	0	5	5	S8_CALCULATION_INPUT_SLICE	0	PMOV_S8_CALCULATION_INTEGRITY_RECEIPT.md	Found three stage-envelope errors and one coverage-convention advisory
E027	S8	PMO	CORRECTION	2026-08-26T02:23:14+09:00	2026-08-26T02:24:17+09:00	63	0	0	0	2	2	THREE_STAGE_CELLS_AND_COVERAGE_NOTE	0	VALIDATION_LATENCY_ATTRIBUTION_REPORT.md	S8 report-only bounded correction; D1 semantic target unchanged
E028	S8	PMOV	REVALIDATION	2026-08-26T02:24:17+09:00	2026-08-26T02:24:25+09:00	8	0	0	0	2	2	CORRECTED_LOCATIONS_ONLY	0	PMOV_S8_CALCULATION_INTEGRITY_RECEIPT.md	Diff-only PASS; no global revalidation
E023	S8	PMO	PACKAGING	2026-08-26T02:17:46+09:00	2026-08-26T02:25:31+09:00	465	0	0	0	12	12	FINAL_RECEIPTS_TIMELINE_FORMULAS	0	PMO_COMPLETION_PACKAGE.md	S8 packaging wall envelope; overlaps its PMOV calculation validation and is not added to validator compute
